&variety,&tradingsymbol,&exchange,&transaction_type,&order_type,&quantity,&product,&price,&squareoff,&stoploss,&trailing_stoploss,&validity,&tag
bo,ABB,NSE,BUY,LIMIT,10,MIS,916,4.6,3.2,1,DAY,170920174541LABB
bo,AEGISCHEM,NSE,BUY,LIMIT,10,MIS,226.65,1.15,0.8,1,DAY,170920174629LAEGISCH
bo,AIAENG,NSE,BUY,LIMIT,10,MIS,1867.65,9.35,6.5,1,DAY,170920174629LAIAENG
bo,APLAPOLLO,NSE,BUY,LIMIT,10,MIS,2730.75,13.65,9.5,1,DAY,170920174629LAPLAPOL
bo,APOLLOHOSP,NSE,BUY,LIMIT,10,MIS,1605.05,8.05,5.6,1,DAY,170920174629LAPOLLOH
bo,BAYERCROP,NSE,BUY,LIMIT,10,MIS,6066.15,30.35,21.2,1,DAY,170920174630LBAYERCR
bo,BOMDYEING,NSE,BUY,LIMIT,10,MIS,67.65,0.35,0.2,1,DAY,170920174630LBOMDYEI
bo,CEATLTD,NSE,BUY,LIMIT,10,MIS,932.35,4.65,3.3,1,DAY,170920174630LCEATLTD
bo,CRISIL,NSE,BUY,LIMIT,10,MIS,1780.8,8.9,6.25,1,DAY,170920174630LCRISIL
bo,CROMPTON,NSE,BUY,LIMIT,10,MIS,271.65,1.35,0.95,1,DAY,170920174630LCROMPTO
bo,GET&D,NSE,BUY,LIMIT,10,MIS,101.35,0.5,0.35,1,DAY,170920174630LGET&D
bo,GLAXO,NSE,BUY,LIMIT,10,MIS,1730.3,8.65,6.05,1,DAY,170920174630LGLAXO
bo,IIFLWAM,NSE,BUY,LIMIT,10,MIS,987.5,4.95,3.45,1,DAY,170920174631LIIFLWAM
bo,JSWENERGY,NSE,BUY,LIMIT,10,MIS,57.15,0.3,0.2,1,DAY,170920174631LJSWENER
bo,KRBL,NSE,BUY,LIMIT,10,MIS,265.45,1.35,0.9,1,DAY,170920174631LKRBL
bo,MAHLOG,NSE,BUY,LIMIT,10,MIS,335,1.7,1.2,1,DAY,170920174631LMAHLOG
