SYMBOL,Rank
ABBOTINDIA,10
ACC,10
ADANIENT,10
ADANIGAS,100
ADANIPORTS,10
ADANIPOWER,11
ADANITRANS,10
AEGISCHEM,100
ALKEM,9
AMARAJABAT,10
AMBUJACEM,10
APLAPOLLO,10
APOLLOHOSP,3
APOLLOTYRE,10
ASHOKLEY,10
ASIANPAINT,10
AUROPHARMA,5
AVANTIFEED,12
AXISBANK,3
BAJAJ-AUTO,4
BAJAJELEC,12
BAJAJFINSV,8
BAJAJHLDNG,10
BAJFINANCE,6
BALKRISIND,10
BANDHANBNK,6
BANKBARODA,2
BANKINDIA,5
BATAINDIA,5
BEL,5
BERGEPAINT,10
BHARATFORG,6
BHARTIARTL,10
BHEL,10
BIOCON,7
BLUESTARCO,10
BOSCHLTD,10
BPCL,2
BRIGADE,6
BRITANNIA,4
CADILAHC,10
CANBK,4
CANFINHOME,12
CASTROLIND,11
CEATLTD,12
CENTRALBK,9
CENTURYPLY,12
CENTURYTEX,12
CESC,11
CHAMBLFERT,12
CHOLAFIN,10
CIPLA,4
COALINDIA,2
COCHINSHIP,12
COFORGE,10
COLPAL,9
CONCOR,10
CROMPTON,4
CUB,8
CUMMINSIND,10
CYIENT,12
DABUR,6
DBCORP,9
DBL,12
DCBBANK,12
DCMSHRIRAM,12
DEEPAKNTR,5
DELTACORP,12
DISHTV,6
DIVISLAB,3
DIXON,3
DLF,1
DMART,10
DRREDDY,2
EICHERMOT,5
EMAMILTD,100
ESCORTS,10
EXIDEIND,10
FEDERALBNK,7
GAIL,6
GICRE,10
GLENMARK,10
GMRINFRA,10
GODFRYPHLP,12
GODREJCP,7
GODREJPROP,2
GRANULES,8
GRAPHITE,12
GRASIM,10
GSPL,9
GUJGASLTD,100
HATHWAY,10
HAVELLS,2
HCLTECH,5
HDFC,2
HDFCAMC,10
HDFCBANK,1
HDFCLIFE,8
HEROMOTOCO,3
HEXAWARE,11
HINDALCO,4
HINDCOPPER,12
HINDPETRO,7
HINDUNILVR,1
HINDZINC,7
IBREALEST,7
IBULHSGFIN,10
ICICIBANK,2
ICICIGI,9
ICICIPRULI,10
IDEA,10
IDFC,12
IDFCFIRSTB,10
IGL,8
INDIAMART,12
INDIANB,7
INDIGO,10
INDUSINDBK,5
INFRATEL,10
INFY,1
INOXLEISUR,5
IOB,8
IOC,4
ITC,2
ITI,12
J&KBANK,100
JAGRAN,8
JINDALSTEL,6
JSWSTEEL,3
JUBLFOOD,2
JUSTDIAL,12
KAJARIACER,12
KARURVYSYA,12
KEC,9
KOTAKBANK,4
L&TFH,10
LAURUSLABS,4
LICHSGFIN,10
LINDEINDIA,12
LT,10
LTI,7
LUPIN,6
M&M,2
M&MFIN,10
MAHABANK,100
MANAPPURAM,10
MARICO,8
MARUTI,1
MCDOWELL-N,10
MCX,1
METROPOLIS,12
MFSL,8
MGL,10
MIDHANI,100
MINDTREE,9
MOIL,12
MOTHERSUMI,7
MPHASIS,8
MRF,7
MUTHOOTFIN,10
NATIONALUM,9
NAUKRI,6
NAVINFLUOR,2
NBCC,12
NESTLEIND,3
NHPC,10
NMDC,5
NTPC,10
OBEROIRLTY,4
OFSS,10
OIL,11
OMAXE,10
ONGC,3
ORIENTELEC,100
PAGEIND,10
PEL,10
PERSISTENT,7
PETRONET,5
PFC,10
PGHH,10
PGHL,10
PHOENIXLTD,3
PIDILITIND,10
PNB,3
POWERGRID,10
PRESTIGE,5
PVR,2
RADICO,12
RAJESHEXPO,7
RAMCOCEM,10
RATNAMANI,100
RAYMOND,12
RBLBANK,9
RECLTD,10
RELAXO,9
RELIANCE,1
RITES,12
RVNL,12
SAIL,8
SBICARD,10
SBILIFE,10
SBIN,1
SHREECEM,10
SIEMENS,10
SOBHA,9
SPICEJET,12
SRF,9
SRTRANSFIN,10
STAR,12
SUNPHARMA,1
SUNTECK,8
SUNTV,3
SYMPHONY,100
TATACHEM,10
TATACONSUM,1
TATAELXSI,12
TATAMOTORS,6
TATAPOWER,10
TATASTEEL,1
TCS,2
TECHM,3
TITAN,1
TORNTPHARM,8
TORNTPOWER,10
TTKPRESTIG,100
TV18BRDCST,4
TVSMOTOR,10
TVTODAY,7
UBL,10
UCOBANK,10
UJJIVANSFB,12
ULTRACEMCO,10
UNIONBANK,6
UPL,10
VAKRANGEE,12
VBL,100
VEDL,10
VGUARD,100
VIPIND,12
VOLTAS,3
WELCORP,100
WHIRLPOOL,6
WIPRO,4
WOCKPHARMA,12
ZEEL,1
