"Trading_Symbol","Instrument_Token"
"ABBOTINDIA","4583169"
"ACC","5633"
"ADANIENT","6401"
"ADANIGAS","1552897"
"ADANIPORTS","3861249"
"ADANIPOWER","4451329"
"ADANITRANS","2615553"
"AEGISCHEM","10241"
"ALKEM","2995969"
"AMARAJABAT","25601"
"AMBUJACEM","325121"
"APLAPOLLO","6599681"
"APOLLOHOSP","40193"
"APOLLOTYRE","41729"
"ASHOKLEY","54273"
"ASIANPAINT","60417"
"AUROPHARMA","70401"
"AVANTIFEED","2031617"
"AXISBANK","1510401"
"BAJAJ-AUTO","4267265"
"BAJAJELEC","3848705"
"BAJAJFINSV","4268801"
"BAJAJHLDNG","78081"
"BAJFINANCE","81153"
"BALKRISIND","85761"
"BANDHANBNK","579329"
"BANKBARODA","1195009"
"BANKINDIA","1214721"
"BATAINDIA","94977"
"BEL","98049"
"BERGEPAINT","103425"
"BHARATFORG","108033"
"BHARTIARTL","2714625"
"BHEL","112129"
"BIOCON","2911489"
"BLUESTARCO","2127617"
"BOSCHLTD","558337"
"BPCL","134657"
"BRIGADE","3887105"
"BRITANNIA","140033"
"CADILAHC","2029825"
"CANBK","2763265"
"CANFINHOME","149249"
"CASTROLIND","320001"
"CEATLTD","3905025"
"CENTRALBK","3812865"
"CENTURYPLY","3406081"
"CENTURYTEX","160001"
"CESC","160769"
"CHAMBLFERT","163073"
"CHOLAFIN","175361"
"CIPLA","177665"
"COALINDIA","5215745"
"COCHINSHIP","5506049"
"COFORGE","2955009"
"COLPAL","3876097"
"CONCOR","1215745"
"CROMPTON","4376065"
"CUB","1459457"
"CUMMINSIND","486657"
"CYIENT","1471489"
"DABUR","197633"
"DBCORP","4577537"
"DBL","4630017"
"DCBBANK","3513601"
"DCMSHRIRAM","207617"
"DEEPAKNTR","5105409"
"DELTACORP","3851265"
"DISHTV","3721473"
"DIVISLAB","2800641"
"DIXON","5552641"
"DLF","3771393"
"DMART","5097729"
"DRREDDY","225537"
"EICHERMOT","232961"
"EMAMILTD","3460353"
"ESCORTS","245249"
"EXIDEIND","173057"
"FEDERALBNK","261889"
"GAIL","1207553"
"GICRE","70913"
"GLENMARK","1895937"
"GMRINFRA","3463169"
"GODFRYPHLP","302337"
"GODREJCP","2585345"
"GODREJPROP","4576001"
"GRANULES","3039233"
"GRAPHITE","151553"
"GRASIM","315393"
"GSPL","3378433"
"GUJGASLTD","2713345"
"HAVELLS","2513665"
"HCLTECH","1850625"
"HDFC","340481"
"HDFCAMC","1086465"
"HDFCBANK","341249"
"HDFCLIFE","119553"
"HEROMOTOCO","345089"
"HEXAWARE","2747905"
"HINDALCO","348929"
"HINDCOPPER","4592385"
"HINDPETRO","359937"
"HINDUNILVR","356865"
"HINDZINC","364545"
"IBREALEST","3699201"
"IBULHSGFIN","7712001"
"ICICIBANK","1270529"
"ICICIGI","5573121"
"ICICIPRULI","4774913"
"IDEA","3677697"
"IDFC","3060993"
"IDFCFIRSTB","2863105"
"IGL","2883073"
"INDIAMART","2745857"
"INDIANB","3663105"
"INDIGO","2865921"
"INDUSINDBK","1346049"
"INFRATEL","7458561"
"INFY","408065"
"INOXLEISUR","3384577"
"IOB","2393089"
"IOC","415745"
"ITC","424961"
"ITI","428801"
"J&KBANK","1442049"
"JAGRAN","3382017"
"JINDALSTEL","1723649"
"JSWSTEEL","3001089"
"JUBLFOOD","4632577"
"JUSTDIAL","7670273"
"KAJARIACER","462849"
"KARURVYSYA","470529"
"KEC","3394561"
"KOTAKBANK","492033"
"L&TFH","6386689"
"LAURUSLABS","4923905"
"LICHSGFIN","511233"
"LINDEINDIA","416513"
"LT","2939649"
"LTI","4561409"
"LUPIN","2672641"
"M&M","519937"
"M&MFIN","3400961"
"MAHABANK","2912513"
"MANAPPURAM","4879617"
"MARICO","1041153"
"MARUTI","2815745"
"MCDOWELL-N","2674433"
"MCX","7982337"
"METROPOLIS","2452737"
